Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
5/4/2022,Charles Williams,Gregory Fisher MD,Toyota,Silverado,2013,40253,0.142336117,5729.46
1/20/2023,Terrence Walker,Sally Smith,Nissan,Civic,2019,42762,0.138729205,5932.34
7/21/2022,Maria Griffin,Kyle Roberts,Chevrolet,Silverado,2021,44687,0.124866254,5579.9
4/16/2023,Melissa Silva,Sherry Fletcher,Ford,F-150,2018,18692,0.124406271,2325.4
2/18/2023,Jenna Molina,Crystal Smith,Nissan,Corolla,2018,18898,0.118922805,2247.4
1/30/2023,Mackenzie Torres,Desiree Rodriguez,Honda,Corolla,2022,26997,0.139310454,3760.96
8/14/2022,Alan Villanueva,Debra Curtis,Nissan,Silverado,2015,18031,0.05456514,983.86
6/12/2022,Reginald Cameron,Rebekah Williams,Chevrolet,Corolla,2015,29564,0.111782559,3304.74
2/21/2023,Ashley Mitchell,Andrea Bauer,Chevrolet,F-150,2010,32740,0.097156094,3180.89
9/4/2022,Mary Coleman,Deborah Gregory,Nissan,Altima,2018,12476,0.128214976,1599.61
4/1/2023,Vanessa Moore,Michael Owen,Ford,Corolla,2010,36432,0.051845517,1888.84
6/26/2022,Andrew Mason,Raymond Rivera,Toyota,Altima,2021,18892,0.112998668,2134.77
4/9/2023,Nicole Navarro,Amanda Hernandez,Honda,Civic,2014,38189,0.123786579,4727.29
11/20/2022,Mr. Bradley Mullen,Susan Nichols,Ford,Corolla,2019,33232,0.098806828,3283.55
11/16/2022,Lori Martinez,Donna Cisneros,Nissan,Corolla,2021,39404,0.139331802,5490.23
2/9/2023,Colleen Brown,Daniel Davis,Chevrolet,Civic,2021,25046,0.141339582,3539.99
11/24/2022,Ashley Mccoy,Edwin Paul,Chevrolet,F-150,2012,45989,0.070073647,3222.62
6/26/2022,Jessica Randall,Carrie Williams,Nissan,Civic,2022,47015,0.093375607,4390.05
4/28/2023,Thomas Welch,Mary Cruz,Toyota,Civic,2021,21249,0.088849437,1887.96
2/22/2023,Steven Miles,Elizabeth Sawyer,Nissan,Corolla,2017,31536,0.120382282,3796.38
2/14/2023,David Taylor,Jason Avery,Nissan,F-150,2012,13200,0.076973642,1016.05
3/2/2023,James Hamilton,Deborah Lewis,Chevrolet,Silverado,2019,29146,0.057009117,1661.59
7/25/2022,Linda Harris,Dawn Mejia,Honda,Corolla,2012,23589,0.130381323,3075.57
11/4/2022,Teresa Diaz,Sandra Singh,Nissan,Civic,2020,34384,0.066373191,2282.18
12/12/2022,Rachel Salazar,Patricia Martin,Nissan,Silverado,2012,24736,0.112322923,2778.42
6/23/2022,Michael Edwards,Jason Daniel,Honda,Silverado,2010,23926,0.146074735,3494.98
8/3/2022,Richard Baker,Brandon Taylor,Honda,Altima,2016,20522,0.054811258,1124.84
12/29/2022,Alexis Figueroa,Joshua Douglas,Chevrolet,Altima,2020,49508,0.072844673,3606.39
5/20/2022,Lisa Elliott,Susan Molina,Toyota,F-150,2018,30031,0.107950786,3241.87
9/17/2022,Kelly Waters,Jennifer Quinn,Ford,Corolla,2017,40897,0.062323691,2548.85
3/30/2023,Zachary Hodges,Elizabeth Weiss,Ford,F-150,2022,31871,0.091893116,2928.73
10/4/2022,Allen Martin,Leslie Miller,Honda,F-150,2020,47567,0.106631011,5072.12
9/7/2022,Todd Glass,Derek Davila,Toyota,Civic,2012,36568,0.132997291,4863.44
3/3/2023,Katherine Anderson,Phillip Freeman,Nissan,Altima,2019,33013,0.087806445,2898.75
11/9/2022,Bryan Mack,Spencer Pacheco,Ford,F-150,2019,20099,0.145494193,2924.29
8/2/2022,Kirk Cox,Michelle Walker,Chevrolet,Civic,2020,30846,0.092455307,2851.88
5/12/2022,Sarah Hernandez,Scott Brown,Nissan,F-150,2010,10883,0.140279618,1526.66
2/22/2023,Andrew Mclaughlin,Thomas Mack Jr.,Nissan,F-150,2022,29705,0.133415125,3963.1
12/1/2022,Theresa Todd,Alicia Moreno,Nissan,Altima,2017,42754,0.073465769,3140.96
10/25/2022,Meghan Beasley,Katie Porter,Chevrolet,F-150,2015,46496,0.066142424,3075.36
11/28/2022,Hannah Fry,Eric Jones,Ford,Silverado,2012,22774,0.138948479,3164.41
2/7/2023,Jessica Tucker,Terry Singh,Nissan,Civic,2018,27858,0.09610335,2677.25
4/6/2023,Craig Farley,Ricky Mora,Chevrolet,F-150,2021,16937,0.063535913,1076.11
2/4/2023,Kelly Ryan,Arthur Patrick,Toyota,Silverado,2017,40663,0.115636304,4702.12
8/26/2022,Tyrone Price,Elizabeth Vaughn,Ford,F-150,2011,42795,0.076662855,3280.79
4/6/2023,Rebecca Dean,David Mercer,Nissan,F-150,2011,38888,0.096669193,3759.27
11/23/2022,Cody Page,Tracy Cook,Ford,Corolla,2019,23784,0.112746652,2681.57
3/6/2023,Ashley Freeman,Christy Lewis,Honda,Altima,2020,24781,0.099947605,2476.8
3/4/2023,Brenda Everett,Nicole Hancock,Chevrolet,F-150,2021,15233,0.132237465,2014.37
11/2/2022,Peter Shelton,Jacqueline Robinson,Ford,Altima,2019,25249,0.072109486,1820.69
4/28/2023,Brian Wagner DVM,Timothy Martin DDS,Nissan,Civic,2011,23542,0.130018924,3060.91
6/9/2022,Sherry Thomas,Jessica Barker,Nissan,Silverado,2016,28531,0.146957627,4192.85
10/6/2022,Ashley Porter,Michael Allen,Nissan,F-150,2011,20652,0.118277496,2442.67
10/21/2022,Jamie Lewis,Scott Martin,Nissan,F-150,2022,36222,0.102144641,3699.88
10/2/2022,Randy Ramirez DDS,Suzanne Morris,Honda,F-150,2011,45215,0.140561744,6355.5
8/4/2022,Alisha Mcgee,Chelsea Dixon,Chevrolet,Altima,2017,19085,0.055370766,1056.75
4/11/2023,Kimberly Thomas,Robert Jenkins,Ford,Civic,2018,34523,0.073970279,2553.68
12/10/2022,Carla Jordan,Amber Martin,Chevrolet,Corolla,2014,47277,0.062264355,2943.67
12/17/2022,Michael Wang,Kevin Moran,Nissan,Altima,2018,20422,0.064968347,1326.78
12/15/2022,Whitney Wise,Michelle Meyers,Toyota,Altima,2016,30678,0.097139324,2980.04
1/3/2023,Paula Bass,Sandra Carter,Ford,Silverado,2012,32748,0.11478431,3758.96
10/2/2022,Nicole Simmons,Taylor Hall,Nissan,Corolla,2021,40449,0.07272649,2941.71
11/3/2022,Brendan White,Sheryl Lopez,Chevrolet,F-150,2012,17188,0.11688714,2009.06
5/29/2022,Nathaniel Johnson,Linda Ingram,Ford,Corolla,2011,24525,0.112771203,2765.71
2/5/2023,Jessica Bailey,Daniel Zuniga,Ford,Corolla,2013,17422,0.103045065,1795.25
5/4/2022,Adam Simmons,Jeffrey Montoya,Chevrolet,Altima,2013,38128,0.060305304,2299.32
6/25/2022,Brian Cannon,Jacob Orr,Chevrolet,Corolla,2022,21316,0.071477949,1523.62
6/6/2022,Michael Alexander,Shawna Lee,Chevrolet,Silverado,2012,29983,0.082379833,2469.99
6/1/2022,Cassandra Adams,Morgan Robinson,Ford,Corolla,2015,43450,0.072235212,3138.62
8/8/2022,Lisa Richardson,William Holmes,Nissan,Altima,2011,35368,0.124176072,4391.86
9/11/2022,Whitney Jones,Nicole Lee,Nissan,Altima,2012,44036,0.084265709,3710.72
3/12/2023,Heather Lynn,Brandon Johnson,Nissan,Altima,2012,39910,0.050608641,2019.79
8/23/2022,Megan Mccullough,Shelby Gutierrez,Honda,Corolla,2022,30120,0.096317567,2901.09
7/26/2022,Michael Thompson,Katherine Mcguire,Toyota,Corolla,2010,40696,0.130623477,5315.85
5/6/2022,Rachel Crawford,Renee York,Ford,F-150,2019,16286,0.108295657,1763.7
7/31/2022,Christine Cherry,Nathaniel Cunningham,Toyota,Altima,2018,10854,0.131502312,1427.33
3/23/2023,Taylor Chavez,John Meyers,Nissan,F-150,2021,10335,0.146379452,1512.83
10/1/2022,David Marshall Jr.,Stacey Price,Nissan,Corolla,2022,38778,0.138410333,5367.28
6/1/2022,Sean Clark,Christian Mcintosh,Toyota,Corolla,2019,42029,0.113040175,4750.97
7/12/2022,Sarah Thompson DVM,Ricky Curtis,Honda,Altima,2011,43699,0.077126188,3370.34
11/25/2022,Adam Burns,Mark Schmitt,Toyota,Civic,2020,22028,0.113189209,2493.33
7/23/2022,Mrs. Sarah Davis,James Stout,Chevrolet,Silverado,2014,49866,0.11375108,5672.31
7/24/2022,Tracey Oconnell,Stacey Hamilton,Honda,Silverado,2022,48048,0.112219336,5391.91
7/3/2022,Darlene Beasley,Michele Mendez,Chevrolet,Altima,2017,29020,0.095235758,2763.74
7/8/2022,Alexander Turner,Nicole Guzman,Chevrolet,Civic,2011,45339,0.089865271,4074.4
8/27/2022,Karen Gregory,Brian Young,Ford,Corolla,2014,39842,0.071445898,2846.55
3/20/2023,Terry Padilla,Joy Riley,Toyota,Altima,2019,46627,0.149227547,6958.03
5/19/2022,Erik Murray,Cassandra Pratt,Ford,F-150,2013,43223,0.099005946,4279.33
4/30/2023,Stephen Alvarado,Benjamin Davidson,Chevrolet,Silverado,2016,42623,0.093169081,3971.15
11/11/2022,John Gray DVM,Philip Garcia,Chevrolet,Altima,2019,30965,0.14315166,4432.69
7/8/2022,Christopher Thomas,Kenneth Marsh,Honda,Corolla,2012,39043,0.055214847,2155.75
1/22/2023,Ryan Fernandez,Steven Gomez,Honda,Silverado,2016,41727,0.13055608,5447.71
8/15/2022,Roberta Rowe,Ashley Mccoy,Chevrolet,Altima,2022,42801,0.11607474,4968.11
1/10/2023,Kevin Sweeney,Martha Vaughan,Ford,Altima,2014,38204,0.064154939,2450.98
10/23/2022,Theresa Yu,Michelle Clark,Chevrolet,Silverado,2018,26413,0.133993105,3539.16
6/11/2022,Kimberly Pennington,Ashley Wilson,Ford,Corolla,2010,40504,0.095002054,3847.96
2/11/2023,Amber Cabrera,Caitlin Woodard,Chevrolet,Civic,2021,13525,0.08190888,1107.82
8/12/2022,Robert Scott,Karen Larson,Nissan,Altima,2013,18912,0.133571659,2526.11
7/9/2022,Daniel Braun,Barbara Gross,Chevrolet,F-150,2012,38243,0.053593459,2049.57
12/2/2022,Kristen Lee,Regina Phillips,Honda,Altima,2013,30347,0.146942741,4459.27
8/26/2022,Matthew Short,Michael Thomas,Chevrolet,Silverado,2016,15912,0.080489426,1280.75
11/12/2022,Debbie Rose,David Buchanan,Nissan,F-150,2018,21384,0.073431146,1570.25
5/25/2022,Nancy Wood,Cindy Morgan,Honda,Corolla,2015,40946,0.074288871,3041.83
5/14/2022,Yolanda Moody,Jodi Petersen,Toyota,Altima,2019,32321,0.126978375,4104.07
12/17/2022,Jeremy Bryant,Patrick Wilson,Nissan,F-150,2012,34867,0.063493041,2213.81
5/8/2022,Benjamin Caldwell,Mrs. Dana Alexander MD,Honda,Altima,2013,43567,0.141620378,6169.97
2/17/2023,Brandon Kelly,Brett Klein,Ford,Corolla,2022,32923,0.117808679,3878.62
6/15/2022,Kimberly Singh,Samuel Boone,Ford,Altima,2020,44505,0.127979827,5695.74
4/26/2023,April Haynes,Angela Morrow,Ford,Civic,2022,48081,0.084948118,4084.39
10/8/2022,Dennis Webb,Michael Wilson,Ford,Corolla,2014,24873,0.065589664,1631.41
6/13/2022,Bradley Paul,Christine Day,Toyota,Civic,2017,39384,0.067583688,2661.72
5/5/2022,Emily Lopez,Megan Pollard,Toyota,Corolla,2018,16359,0.112383567,1838.48
7/5/2022,Hannah Little,Sarah Evans,Toyota,Civic,2016,42241,0.051429261,2172.42
12/4/2022,John Marshall,John Shepard,Toyota,Altima,2017,21126,0.077310813,1633.27
5/31/2022,Katrina Carr,Peter Rivera,Toyota,Silverado,2020,42534,0.133901353,5695.36
2/3/2023,Nicole Wilson,Samantha Monroe,Nissan,Altima,2016,35679,0.115859199,4133.74
7/18/2022,Elizabeth Brooks,Andrew Meza,Nissan,Altima,2015,38799,0.073923298,2868.15
11/4/2022,Yvette Whitaker,Alicia Moore,Honda,Civic,2017,16292,0.13555214,2208.42
4/15/2023,Scott Thomas,Jeffrey Miller,Toyota,Civic,2022,19708,0.101275963,1995.95
6/29/2022,Marie Cole,Justin Howard,Toyota,F-150,2018,23368,0.104800232,2448.97
9/20/2022,Allison Sanchez,Angela Tanner,Ford,F-150,2014,13939,0.121301454,1690.82
2/27/2023,Eric Morris,Michele Jones,Chevrolet,F-150,2015,28266,0.088688274,2506.86
5/1/2022,Aaron Spencer,Zachary Krueger,Chevrolet,F-150,2020,43882,0.118758287,5211.35
6/8/2022,Todd Rose,Jose Lewis,Honda,Silverado,2017,30195,0.095088203,2871.19
1/16/2023,Amanda Cross,George Cummings,Nissan,F-150,2015,28832,0.057468593,1656.93
3/14/2023,Ryan Price,Mariah Garrison,Chevrolet,Silverado,2017,37378,0.10148402,3793.27
7/17/2022,Amy Jackson,Dana Johnson,Nissan,Silverado,2022,38562,0.126325423,4871.36
10/25/2022,Michael Ramirez,Wanda Perez,Honda,Corolla,2021,17711,0.121167514,2146
10/24/2022,Anita Lopez,Loretta Hill,Chevrolet,Altima,2017,12173,0.093204968,1134.58
12/8/2022,Dawn Hodges,Brittany Edwards,Ford,Altima,2015,47797,0.148265253,7086.63
6/2/2022,Deborah Bowen,Jill Campbell DVM,Ford,Civic,2017,21467,0.093756938,2012.68
1/5/2023,James Escobar,Christopher Rodriguez,Honda,Silverado,2020,47508,0.085096851,4042.78
7/23/2022,Anthony Strong,James Gonzalez,Nissan,F-150,2017,48262,0.121029494,5841.13
3/6/2023,Tyler Spears,Dana Delacruz,Toyota,Civic,2010,42359,0.08228295,3485.42
1/15/2023,Melissa Walker,Maria Deleon,Ford,Altima,2010,35100,0.054331571,1907.04
1/14/2023,Laura Hall,Lauren Butler,Chevrolet,F-150,2020,12302,0.075388345,927.43
12/7/2022,Carlos Silva,Abigail Hughes,Nissan,F-150,2018,11281,0.070279603,792.82
9/1/2022,Steven Reid,Elizabeth Drake,Honda,Silverado,2015,24872,0.089920424,2236.5
5/26/2022,Amber Mcdonald,Michael Ross,Honda,Corolla,2013,36992,0.139983569,5178.27
12/18/2022,Jennifer White,Joseph Frost,Nissan,Corolla,2022,29917,0.119511052,3575.41
9/27/2022,Rebecca Mcdonald,Sean Rogers,Chevrolet,F-150,2020,23994,0.099148135,2378.96
5/10/2022,Melissa Anderson,Andrew Dean,Chevrolet,Civic,2012,20552,0.121261122,2492.16
1/25/2023,David Fletcher,Michael Moore,Honda,Civic,2018,49997,0.060753179,3037.48
7/8/2022,Rebecca Gallagher,Michelle Carter,Chevrolet,Corolla,2021,42091,0.129845605,5465.33
5/1/2023,Michael House,Jason Ward,Ford,Civic,2020,30584,0.137853144,4216.1
8/17/2022,Jennifer Poole,Kevin Holmes,Chevrolet,Silverado,2011,22811,0.088761111,2024.73
9/28/2022,Tammy Diaz,Dr. Christine Nguyen,Toyota,F-150,2018,39397,0.084153568,3315.4
1/8/2023,Shawn Henderson,Tyler Brown,Nissan,Altima,2021,35829,0.069671004,2496.24
8/12/2022,Casey Morris,Steven Lee,Honda,F-150,2012,39712,0.05827685,2314.29
2/9/2023,Steven Logan,James Long,Chevrolet,F-150,2017,19670,0.097701738,1921.79
9/19/2022,Amy Smith,Sarah Boone,Toyota,Corolla,2010,46793,0.125867472,5889.72
9/2/2022,James Harmon,Christopher Lewis,Honda,Corolla,2010,26922,0.125665024,3383.15
9/22/2022,Tracy Carpenter,Alicia Jenkins,Toyota,F-150,2019,11473,0.119031575,1365.65
1/30/2023,Erin Nelson,Jason Reese,Ford,Silverado,2019,44172,0.06029157,2663.2
1/4/2023,Donald Howe,Derrick Woods,Ford,Altima,2014,40388,0.105138098,4246.32
6/19/2022,Adam Nguyen,David Mccarthy,Nissan,Civic,2022,36698,0.07159022,2627.22
4/1/2023,George Hughes,Nancy Ingram,Chevrolet,Civic,2017,12485,0.145392041,1815.22
4/26/2023,Lisa Williams,Ashley Cortez,Honda,Corolla,2016,20056,0.062194891,1247.38
8/28/2022,Christopher Church,Laura Simpson,Honda,Altima,2019,45424,0.05019952,2280.26
11/15/2022,Joseph Gallegos,Melissa Sandoval,Ford,Silverado,2019,27988,0.100495612,2812.67
12/6/2022,David Brown,Claire Ballard,Chevrolet,Silverado,2010,28902,0.077425614,2237.76
11/4/2022,Heather Patrick,Patricia Campbell DDS,Ford,F-150,2018,12020,0.089943662,1081.12
4/1/2023,Dustin Martinez,Robert Schroeder,Nissan,Civic,2020,43238,0.091598421,3960.53
4/6/2023,Eric Wagner,Mandy Cook,Ford,F-150,2021,26286,0.125255468,3292.47
6/25/2022,Andrew Knight,Jessica Beltran,Toyota,Civic,2010,37243,0.087422509,3255.88
12/31/2022,Zachary Sweeney,Douglas Miller,Nissan,F-150,2014,15462,0.06092946,942.09
5/8/2022,Jenny Freeman,Kenneth Holmes,Ford,Silverado,2022,13625,0.133287135,1816.04
10/2/2022,Nicole Love,Jason Powers,Ford,Silverado,2013,33977,0.080810606,2745.7
2/15/2023,Thomas Gibson,Heather Mcintyre,Honda,Silverado,2014,39955,0.141132344,5638.94
7/1/2022,Kristen Campbell,Richard Key,Nissan,Civic,2022,49393,0.139951247,6912.61
3/21/2023,Tiffany Cole,Leslie Carr,Honda,Civic,2010,19630,0.104001303,2041.55
2/19/2023,Susan Leon,Michael Daniels,Nissan,Altima,2012,28581,0.056832513,1624.33
1/11/2023,Christopher Erickson,Angela Harris,Ford,Corolla,2017,15038,0.067074129,1008.66
10/27/2022,Richard Davis,Derek Austin,Chevrolet,F-150,2019,24614,0.086527884,2129.8
4/7/2023,Kristopher Paul,Robert Peterson,Honda,Altima,2015,39860,0.103266208,4116.19
11/10/2022,Heather Garcia,Justin Hood,Ford,Civic,2013,21905,0.082142036,1799.32
1/25/2023,Miss Monica Ortiz MD,James Thomas,Chevrolet,Altima,2018,45792,0.143617343,6576.53
1/27/2023,Donald Johnson,Laura Lewis,Nissan,Silverado,2017,19150,0.117407813,2248.36
2/24/2023,Kent Myers,Jenny Harper,Honda,Civic,2012,48272,0.089280539,4309.75
12/12/2022,Patrick Garrett,Tina Jimenez,Nissan,F-150,2020,48621,0.126121901,6132.17
10/20/2022,Jared Gregory,Mathew Wood,Nissan,Civic,2016,26980,0.103792368,2800.32
1/24/2023,Daniel Stephens,Kevin White,Chevrolet,Civic,2010,25373,0.126088257,3199.24
7/1/2022,Lori Jimenez,Joshua Camacho,Honda,Silverado,2021,36142,0.078920368,2852.34
7/25/2022,Courtney Harvey,Adam Horn,Toyota,F-150,2020,47949,0.069760056,3344.92
2/4/2023,Jasmine Daniels,Matthew Gould,Nissan,F-150,2014,16053,0.133132521,2137.18
4/6/2023,Leah Ramirez,Alexander Hanson MD,Toyota,Civic,2022,43455,0.129083896,5609.34
11/21/2022,Valerie Martinez,Margaret Walker,Nissan,F-150,2011,45324,0.117775918,5338.08
2/2/2023,Amber Powell,Richard Wood,Nissan,Civic,2021,41417,0.0509805,2111.46
1/5/2023,James Saunders,Michael Mora,Nissan,Corolla,2012,37817,0.078030853,2950.89
2/11/2023,Stacy Erickson,Christopher Ashley,Ford,Civic,2020,10087,0.060335888,608.61
5/29/2022,Gina Hall,Beth Long,Toyota,Altima,2011,46872,0.065744604,3081.58
7/2/2022,Jennifer Fisher,Jeremy Byrd,Nissan,Corolla,2021,19745,0.137475026,2714.44
3/15/2023,Robert Henry,Dr. Aaron Stewart,Toyota,Corolla,2017,31968,0.133423124,4265.27
8/27/2022,Kathleen Rodriguez,Michael Hall,Nissan,Civic,2010,14036,0.148954981,2090.73
3/9/2023,David Alexander,Jasmin Silva,Chevrolet,Altima,2021,40816,0.067147847,2740.71
5/11/2022,Mark Smith,Leah Friedman,Honda,Corolla,2015,36154,0.140326891,5073.38
5/31/2022,Laura Rhodes,Nicole Martinez,Ford,Corolla,2012,22683,0.113349599,2571.11
11/18/2022,Ricardo Gray,Dustin Hall,Toyota,Altima,2021,16654,0.090715155,1510.77
2/11/2023,Billy Lewis,Aaron Wiley,Chevrolet,Silverado,2013,32996,0.124786973,4117.47
2/7/2023,Shawn Ballard,Gregory Bradshaw,Nissan,F-150,2015,29881,0.13500555,4034.1
12/10/2022,Brenda Campos,Edward Ross,Ford,Civic,2021,24989,0.092497793,2311.43
6/5/2022,Amy Young,David Young,Ford,F-150,2019,12242,0.068584692,839.61
2/6/2023,Jacqueline Crane,Erica Martinez,Ford,Civic,2010,28355,0.105185045,2982.52
12/8/2022,Rebecca Walker,Laurie Medina,Toyota,Silverado,2021,32179,0.140352146,4516.39
8/21/2022,Cynthia Powers,Michael Washington,Ford,Corolla,2017,36666,0.110524176,4052.48
6/26/2022,Thomas Hendrix,Joel Flynn,Nissan,Civic,2014,17228,0.137194507,2363.59
3/14/2023,Angelica Howell,Aaron Le,Nissan,F-150,2010,41206,0.073097922,3012.07
6/13/2022,Justin Jackson,Martha Carr,Nissan,Civic,2017,10672,0.065664299,700.77
12/15/2022,Penny Singleton,Kristen Rodriguez,Ford,Silverado,2017,43230,0.096912054,4189.51
6/5/2022,Stephen Steele,Elizabeth Sutton,Honda,F-150,2021,37486,0.110110758,4127.61
2/25/2023,Jesus Park,Jennifer Goodwin,Honda,Civic,2017,24764,0.134807849,3338.38
6/8/2022,Jessica Johnson,Charles Olson,Chevrolet,F-150,2014,38431,0.082529605,3171.7
1/23/2023,Seth Gutierrez,Elizabeth Rowe,Toyota,Altima,2014,25400,0.111034217,2820.27
2/23/2023,James Austin,Amy Miller,Chevrolet,Civic,2012,23568,0.14375172,3387.94
3/5/2023,Cheryl Torres,Michael Hunt,Ford,Silverado,2015,40014,0.061974136,2479.83
7/2/2022,James Johnson DDS,Amber Fernandez,Ford,F-150,2021,45997,0.134864497,6203.36
7/31/2022,James Valdez,Kelly Matthews,Ford,F-150,2010,32046,0.109331757,3503.65
5/23/2022,Sarah Vega,Joshua Henry,Toyota,Civic,2014,33133,0.100861406,3341.84
12/21/2022,Christian Smith,Donald Griffith,Toyota,Altima,2013,26071,0.127201461,3316.27
9/12/2022,Michaela Rose,Joshua Walker,Toyota,Civic,2016,46129,0.143161451,6603.89
9/13/2022,Mary Smith,Charles Mccarthy,Toyota,F-150,2021,34109,0.149023599,5083.05
5/23/2022,Samuel Foster,Travis Hill,Chevrolet,Corolla,2020,12027,0.127342594,1531.55
10/30/2022,Lisa Sharp,Kimberly Diaz,Ford,Altima,2021,12665,0.054688896,692.63
12/12/2022,Travis Peters,Patrick Garcia,Toyota,Corolla,2015,24639,0.110337398,2718.6
7/3/2022,Terry Ross,Richard Warren,Toyota,Silverado,2017,41025,0.096950278,3977.39
5/1/2023,Chase Roberts,Marilyn Bowers,Chevrolet,Corolla,2019,38773,0.149021136,5778
8/3/2022,Jeanne Thompson,Kelli Parker,Honda,Silverado,2019,35185,0.076179556,2680.38
5/14/2022,Melanie Allison,William Howard,Nissan,Silverado,2016,41085,0.145582093,5981.24
4/28/2023,Christian Morales,Jody Shelton,Ford,F-150,2014,24010,0.137891818,3310.78
7/14/2022,Patricia Rodriguez,Cathy Stephens,Chevrolet,Silverado,2016,40909,0.058229972,2382.13
6/16/2022,Ryan Mcclure,Dennis Williams,Toyota,Silverado,2010,30104,0.145371623,4376.27
10/10/2022,Stephanie Hunt,Rebecca Phillips,Nissan,Silverado,2019,33788,0.138274066,4672
2/19/2023,Todd Medina,Tanya Smith,Toyota,Silverado,2010,32019,0.055873991,1789.03
3/26/2023,Ryan Kline,Teresa Hanson,Nissan,Altima,2013,49975,0.117096382,5851.89
5/18/2022,Joseph Gentry,Miguel Williams,Chevrolet,Altima,2016,13890,0.050713773,704.41
1/1/2023,Travis Santiago,Robert Mendez,Toyota,F-150,2017,24096,0.129328807,3116.31
9/21/2022,Christine Lee,Terri Tucker,Honda,Civic,2018,43540,0.069077932,3007.65
6/22/2022,Jared Hunt,Jenna Baker,Chevrolet,Silverado,2016,10824,0.128372403,1389.5
1/4/2023,Johnny Turner,Scott Smith,Toyota,Corolla,2017,25202,0.073593878,1854.71
9/27/2022,Dana Smith,Heather Williams,Chevrolet,F-150,2012,33720,0.09485572,3198.53
8/30/2022,Erin Romero,Lori Escobar,Nissan,F-150,2011,24399,0.06952489,1696.34
4/30/2023,Kristine Grimes,Miss Rachel Bowen MD,Nissan,Corolla,2012,41396,0.104615116,4330.65
11/5/2022,Jonathan Campbell,David Morton,Ford,Silverado,2018,38589,0.0568445,2193.57
5/5/2022,Erin Choi,Kevin Macdonald,Honda,Civic,2014,38447,0.096088552,3694.32
1/19/2023,Benjamin Wall,Spencer Wilson,Toyota,F-150,2014,16935,0.058846198,996.56
6/10/2022,Brandon Gill,Antonio Cabrera,Nissan,Corolla,2020,11643,0.116370188,1354.9
10/10/2022,Julie Benton,Justin Carr,Ford,Civic,2011,46275,0.104496078,4835.56
11/20/2022,Linda Mcdowell,Stacy Johnson,Honda,Silverado,2021,24154,0.130195301,3144.74
3/2/2023,Victoria Smith,Chad Hanna,Ford,Silverado,2020,15657,0.086579286,1355.57
12/12/2022,April Pittman,Kevin Moreno,Nissan,Silverado,2011,13714,0.077943044,1068.91
1/14/2023,Billy Howe,Bryce Salinas,Honda,Corolla,2014,31618,0.131702543,4164.17
1/6/2023,Angela Simon,Kenneth Smith,Toyota,Altima,2021,30880,0.146988485,4539
10/14/2022,Jacob Torres,Jenny Hall,Nissan,Civic,2015,37787,0.149807166,5660.76
1/6/2023,Kelly Barr,Haley Savage,Ford,Civic,2013,11668,0.147945303,1726.23
